GO,AUC,AVG_NODE_DEGREE,DEGREE_NULL_AUC,P_Value,n_genes,namespace,term_name,is_obsolete
GO:0016554,0.9107332862523542,6775.635426228062,0.348959938366718,9.785687949675125e-07,11,biological_process,cytidine to uridine editing,False
GO:0000463,0.9103243064884866,7496.6978353284785,0.6451222714922071,2.9105438898825966e-14,28,biological_process,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",False
GO:0015935,0.9094105667785,6854.055777997694,0.35872583034306854,8.985286414052815e-65,144,cellular_component,small ribosomal subunit,False
GO:0080156,0.9089455146824088,7204.672205452537,0.5404957235119567,2.2010949674995554e-08,17,biological_process,mitochondrial mRNA modification,False
GO:1900864,0.9089455146824088,7204.672205452537,0.5404957235119567,2.2010949674995554e-08,17,biological_process,,False
GO:0170049,0.9083464777016581,7449.89772930735,0.6362090072274408,3.958911981137939e-07,12,cellular_component,,False
GO:0034357,0.9037696371178016,6010.228001004855,0.13392609589368518,3.912080023939506e-97,225,cellular_component,,False
GO:0010015,0.9032972379158819,7489.873356658288,0.6556882383153569,2.0117640066444176e-06,11,biological_process,,False
GO:0042273,0.8993024885139516,7285.611427088579,0.5514463148496612,5.308507251765921e-54,126,biological_process,ribosomal large subunit biogenesis,False
GO:0031428,0.8968755640307303,7449.89772930735,0.6362090072274408,7.010584326918143e-07,12,cellular_component,box C/D methylation guide snoRNP complex,False
GO:0042651,0.8966225491294905,6049.043650857857,0.14366457913469297,3.902839001864668e-86,205,cellular_component,thylakoid membrane,False
GO:0000470,0.8965393428294711,7380.76692580373,0.596040913707982,1.0535756447072748e-26,60,biological_process,maturation of LSU-rRNA,False
GO:0000028,0.8962414064940067,6962.293839710252,0.40427405810216477,1.9234984034671963e-17,38,biological_process,ribosomal small subunit assembly,False
GO:0042255,0.8918952798248371,7095.53014827124,0.4644486169711459,2.9315689066245906e-33,78,biological_process,,False
GO:0005732,0.8893270619578965,7425.069432493878,0.6242140803942146,4.909662260184076e-14,31,cellular_component,sno(s)RNA-containing ribonucleoprotein complex,False
GO:0006611,0.8888359078207907,7512.897948489117,0.6829189036450974,1.849053332956594e-07,15,biological_process,protein export from nucleus,False
GO:0055035,0.8887578801635597,6090.462626763921,0.15654469507101085,2.2770602797350923e-69,171,cellular_component,,False
GO:0009579,0.888546154490656,6075.455622183705,0.14914951999569573,2.7216745706764837e-112,281,cellular_component,thylakoid,False
GO:0015995,0.887723712548838,6205.672017701481,0.19352787394898607,3.0512965028392454e-08,18,biological_process,chlorophyll biosynthetic process,False
GO:0016109,0.8864979391863583,6001.017609373592,0.11624088738059327,2.1136840743331287e-12,27,biological_process,,False
GO:0016117,0.8864979391863583,6001.017609373592,0.11624088738059327,2.1136840743331287e-12,27,biological_process,carotenoid biosynthetic process,False
GO:0034314,0.8864895512081047,7705.505068220412,0.7705287567389411,3.7989845454936115e-06,12,biological_process,Arp2/3 complex-mediated actin nucleation,False
GO:0030091,0.8855750969220386,6140.089646367454,0.13568843926239038,1.4878827953179052e-06,13,biological_process,protein repair,False
GO:0045910,0.8852404275263841,6308.905637222999,0.2114392012809645,5.138986888158061e-07,15,biological_process,negative regulation of DNA recombination,False
GO:0009535,0.8848595538880445,6090.462626763921,0.15654469507101085,2.9151217440274986e-68,171,cellular_component,chloroplast thylakoid membrane,False
