clustering,libraries,cluster,n_cells,median_cv,mean_cv,genes_used,silhouette_within_library,silhouette_global
celltype_call,leaf_drought_rep3,Companion cells,55,3.1688035900441096,3.551046956726495,1825,0.31476329878792525,0.2567779979008441
celltype_call,leaf_drought_rep3,Epidermal,14,2.6743030074553356,2.8842924642322387,1317,0.3648074239993302,0.213284507058019
celltype_call,leaf_drought_rep3,Epidermal/Pavement,87,3.5964982351303,4.029773844709418,1899,-0.04213901710249833,0.13002759619860335
celltype_call,leaf_drought_rep3,Guard cells,14,2.653773819259043,2.8260121099192514,1381,0.5779938253085909,0.3830210420830609
celltype_call,leaf_drought_rep3,Hydathode cells,4,2.0,1.7850426051895352,624,0.31402364707710495,0.06359149661500954
celltype_call,leaf_drought_rep3,Mesophyll,802,3.383914476954968,3.940200047056489,1968,0.47557203083860417,0.16053610495396028
celltype_call,leaf_drought_rep3,Unknown,7,2.1721931043282554,2.0872627642970403,1146,0.1379609015009727,0.11611992290093147
celltype_call,leaf_drought_rep3,Vascular/Phloem parenchyma,17,2.8957408387655765,3.0585304344058826,1427,0.3319454449295493,0.3076369508655797
cluster_annot,leaf_HD_rep1,Bundle sheath-10,108,3.4379443563104863,4.125302925905664,1895,0.2927636626465823,0.25284046924857356
cluster_annot,leaf_HD_rep1,Bundle sheath-3,692,3.3607427187627206,4.024253627222262,1990,0.11955037388574204,0.0800826138446386
cluster_annot,leaf_HD_rep1,Companion cells-6,296,3.1344734634391167,3.6965166843115447,1985,0.2560324336869175,0.21252890990839346
cluster_annot,leaf_HD_rep1,Epidermal-4,497,3.100819838762371,3.6008789270031127,1994,0.1945013069397555,0.1129364021038479
cluster_annot,leaf_HD_rep1,Guard cells-12,34,2.851670163713454,3.1417402346008245,1822,0.10931057217686449,0.08712436453053046
cluster_annot,leaf_HD_rep1,Hydathode cells-15,18,2.4156632279233636,2.604124606160053,1627,0.7271189020550399,0.5952832689024355
cluster_annot,leaf_HD_rep1,Hydathode cells-16,24,2.891943397194449,3.139950110346517,1434,0.34404378365301236,0.34085913781592253
cluster_annot,leaf_HD_rep1,Mesophyll-0,668,3.306978107274625,4.008949167918815,1985,0.10160349747382141,0.3036777582070252
cluster_annot,leaf_HD_rep1,Mesophyll-1,1846,2.9987362530244126,3.6606333571347784,1995,0.20553823332917576,0.2656316292972943
cluster_annot,leaf_HD_rep1,Mesophyll-2,835,3.191341919177915,3.7106202003484423,1993,-0.12181402823250327,-0.14348470290873966
cluster_annot,leaf_HD_rep1,Mesophyll-5,418,2.9885563659540306,3.566886945856179,1985,0.44210125056943006,0.22791831786611422
cluster_annot,leaf_HD_rep1,Mesophyll-7,1,,,0,0.0,-0.22105362751527738
cluster_annot,leaf_HD_rep1,Unknown-14,19,2.6437973268005743,2.8180692603389033,1503,0.3112795873804619,0.22674251755478841
cluster_annot,leaf_HD_rep1,Vascular/Phloem parenchyma-11,82,3.428574272305847,3.8592461969726592,1929,0.2116306240667936,0.1478648682609281
cluster_annot,leaf_HD_rep2,Bundle sheath-10,54,2.938899653413752,3.266945077835711,1934,0.24044840173863488,0.2408658226579565
cluster_annot,leaf_HD_rep2,Bundle sheath-3,337,3.147376099145828,3.502576159711985,1992,0.12280170028119597,0.08678619194041795
cluster_annot,leaf_HD_rep2,Companion cells-6,381,2.8284488841138633,3.1764918577526804,1995,0.25988871777670386,0.24000073089764773
cluster_annot,leaf_HD_rep2,Epidermal-4,238,2.576562268192968,2.8337365329681337,1994,0.07188456610204719,-0.012070586540328873
cluster_annot,leaf_HD_rep2,Guard cells-12,69,2.223347161302284,2.442371109233123,1986,0.15131813447114376,0.09701066628068661
cluster_annot,leaf_HD_rep2,Hydathode cells-15,38,2.6686189700829694,2.975841253838689,1913,0.6184353651372166,0.5533701167021369
cluster_annot,leaf_HD_rep2,Hydathode cells-16,12,2.6003440772904405,2.6778300557691668,1225,0.5232672596056772,0.41888574166235987
cluster_annot,leaf_HD_rep2,Mesophyll-0,1072,3.2243467370635703,3.9027970928365754,1993,0.05571611069849799,0.3030154333763639
cluster_annot,leaf_HD_rep2,Mesophyll-1,671,2.7727880187358904,3.3119725223197816,1993,0.18146694140363384,0.09977127198665027
cluster_annot,leaf_HD_rep2,Mesophyll-13,1,,,0,0.0,-0.019815908997465694
cluster_annot,leaf_HD_rep2,Mesophyll-2,270,2.852897817832987,3.1145167567618035,1995,-0.026751125915174808,-0.10196239747407942
cluster_annot,leaf_HD_rep2,Mesophyll-5,438,2.751465249268102,3.0403876939432672,1991,0.19803605669184318,0.13394121750758264
cluster_annot,leaf_HD_rep2,Mesophyll-7,1,,,0,0.0,-0.13414352162097867
cluster_annot,leaf_HD_rep2,Unknown-14,56,2.6530153564099805,3.0187520639031074,1920,0.28060417003470567,-0.05790594047868179
cluster_annot,leaf_HD_rep2,Vascular/Phloem parenchyma-11,53,2.6900450579310125,2.9314874481859614,1971,0.20003255544947426,0.10735363084942101
cluster_annot,leaf_HD_rep3,Bundle sheath-10,17,2.831661032880225,2.833790184858718,1541,0.5082862990874549,0.31610947327286226
cluster_annot,leaf_HD_rep3,Bundle sheath-3,5,2.2360679774997894,1.9400971763502128,796,0.22110631492943017,0.12458666671640825
cluster_annot,leaf_HD_rep3,Companion cells-6,34,3.2894832923024273,3.520537082939323,1618,0.3771211470706841,0.25406371890734797
cluster_annot,leaf_HD_rep3,Epidermal-4,1,,,0,0.0,0.16658013625801102
cluster_annot,leaf_HD_rep3,Epidermal/Pavement-9,51,3.3349672327500004,3.6875188477504928,1866,-0.05008948952197043,0.13554728165702756
cluster_annot,leaf_HD_rep3,Guard cells-12,13,2.6491300545867995,2.804539148156086,1381,0.563922605426181,0.3625246658273492
cluster_annot,leaf_HD_rep3,Hydathode cells-15,2,1.4142135623730951,1.3404749090615071,614,0.7099403720948869,0.5897663567503015
cluster_annot,leaf_HD_rep3,Hydathode cells-16,5,2.2360679774997894,1.9758027103246933,956,0.5863315994965286,0.49665962496566707
cluster_annot,leaf_HD_rep3,Mesophyll-0,8,2.82842712474619,2.303921938217604,992,0.22059167681819397,0.16716749964519823
cluster_annot,leaf_HD_rep3,Mesophyll-1,1,,,0,0.0,0.13788523698496036
cluster_annot,leaf_HD_rep3,Mesophyll-13,66,3.0926381749050176,3.4877596036807836,1885,0.46603876601287314,0.2674766918327358
cluster_annot,leaf_HD_rep3,Mesophyll-7,349,3.438915093595157,4.253076364726395,1942,0.2551497900655315,0.3811686488952462
cluster_annot,leaf_HD_rep3,Mesophyll-8,123,3.1714673519831096,3.584519328758812,1950,0.2281586902507799,0.22634352448170714
cluster_annot,leaf_HD_rep3,Unknown-14,16,2.770032276090916,2.9044432213049727,1210,0.4730100253884,-0.130136995327585
cluster_annot,leaf_HD_rep3,Vascular/Phloem parenchyma-11,11,2.411106022678806,2.5440913685482123,1396,0.17292097702229825,0.18872759494228342
cluster_annot,leaf_Heat_rep1,Bundle sheath-10,41,3.2796767543855117,3.6536997577352017,1754,0.357254179523284,0.30383379441480024
cluster_annot,leaf_Heat_rep1,Bundle sheath-3,143,3.2955786930526445,3.687755669945106,1975,-0.036320588533192755,0.10269845813287562
cluster_annot,leaf_Heat_rep1,Companion cells-6,98,3.878790542082469,4.628330723060629,1754,0.4185160136379314,0.22795394643367134
cluster_annot,leaf_Heat_rep1,Epidermal-4,99,3.465541785783578,3.9097063592807513,1941,0.2427133992722347,0.22727653294388997
cluster_annot,leaf_Heat_rep1,Epidermal/Pavement-9,2,1.414213562373095,1.3311691300976405,288,-0.2473424042531973,-0.04832940284197802
cluster_annot,leaf_Heat_rep1,Guard cells-12,28,3.1539749609831578,3.4428495007037316,1691,0.4256978818095799,0.31836072629722934
cluster_annot,leaf_Heat_rep1,Hydathode cells-15,10,3.162277660168379,2.499160030980402,987,0.7253477795683725,0.6001398727467432
cluster_annot,leaf_Heat_rep1,Hydathode cells-16,5,2.23606797749979,1.977383507167481,649,0.30980768500340206,0.3152673758874912
cluster_annot,leaf_Heat_rep1,Mesophyll-0,189,3.2557805790738996,3.8517473052873727,1941,0.23508152529124016,0.3098141294848072
cluster_annot,leaf_Heat_rep1,Mesophyll-1,21,2.8121420985827217,2.95961421856497,1513,0.2087224622974464,0.13821518393030058
cluster_annot,leaf_Heat_rep1,Mesophyll-2,206,3.407594462742051,3.8647226730086994,1974,-0.07026923278629678,-0.06131839880635389
cluster_annot,leaf_Heat_rep1,Mesophyll-5,33,3.223018266717811,3.329149390804187,1791,0.5164415023879289,0.2533739717860429
cluster_annot,leaf_Heat_rep1,Mesophyll-7,9,2.081522049095491,2.3040860356856654,1169,0.23014611372794316,0.13339074129303125
cluster_annot,leaf_Heat_rep1,Mesophyll-8,4,2.0,1.7452504171370573,730,-0.060963687954223605,-0.153286701810883
cluster_annot,leaf_Heat_rep1,Unknown-14,21,3.161544293730491,3.1543353731152646,1467,0.1426981508304141,0.1658936503367657
cluster_annot,leaf_Heat_rep1,Vascular/Phloem parenchyma-11,30,3.159788394149273,3.452909808009193,1720,0.2686977259628,0.2061216788234518
cluster_annot,leaf_Heat_rep2,Bundle sheath-10,59,3.236398460158222,3.5607124162719814,1914,0.182074346099714,0.09450725415825682
cluster_annot,leaf_Heat_rep2,Bundle sheath-3,249,3.43866895779296,3.814994914045297,1990,0.047948322126936053,-0.0037165147945347017
cluster_annot,leaf_Heat_rep2,Companion cells-6,232,3.4747799274242057,4.561591476653931,1961,0.17392374745850797,0.1300338651197267
cluster_annot,leaf_Heat_rep2,Epidermal-4,114,3.2624567633798094,3.5901951295842274,1976,0.08466767726275162,-0.030073041389213052
cluster_annot,leaf_Heat_rep2,Guard cells-12,80,3.043616467709393,3.3519848187016277,1978,0.16090360491004824,0.08539321380505385
cluster_annot,leaf_Heat_rep2,Hydathode cells-15,36,3.2921173776907424,3.510300467942076,1763,0.4154918008183506,0.38596109105602344
