GeneID,Means-CK,Means-D_24,log2Ratio (D_24/CK),Up-Down-Regulation (D_24/CK),Probability
GLYMA08G21190,0.59,8.403333333,3.832174853,Up,0.830084836
GLYMA12G35490,0.726666667,8.71,3.583307085,Up,0.823905974
GLYMA06G14160,2.023333333,12.27333333,2.600721205,Up,0.801498763
GLYMA18G25160,3.11,18.16333333,2.546042505,Up,0.817310004
GLYMA04G26810,38.49,137.8033333,1.84005521,Up,0.807002474
GLYMA08G14590,2.893333333,15.58666667,2.429507982,Up,0.803573701
GLYMA02G42780,0.823333333,18.1,4.458369251,Up,0.905044185
GLYMA03G26590,6.876666667,36.35,2.402174044,Up,0.835701661
GLYMA08G42500,0.63,29.95333333,5.571220922,Up,0.949600566
GLYMA18G35080,0.01,6.236666667,9.284631343,Up,0.872827854
GLYMA15G39740,7.993333333,39.21666667,2.294597757,Up,0.826769176
GLYMA03G33756,4.426666667,21.26,2.263848951,Up,0.805217391
GLYMA06G15020,2.196666667,14.73666667,2.746022364,Up,0.819112761
GLYMA01G09948,0.01,5.96,9.21916852,Up,0.867720042
GLYMA12G33130,17.18,123.8566667,2.849869583,Up,0.881721456
GLYMA05G31450,191.64,656.1766667,1.775685575,Up,0.805680452
GLYMA15G16630,2.8,18.14666667,2.696205834,Up,0.828723931
GLYMA02G44821,0.38,36.54333333,6.587465008,Up,0.967811948
GLYMA16G28480,0.66,12.23,4.211814569,Up,0.873418169
GLYMA17G34160,17.31333333,75.96666667,2.133483005,Up,0.828713326
GLYMA13G43800,5.933333333,59.56,3.327429013,Up,0.897348887
GLYMA10G00460,7.256666667,37,2.350146364,Up,0.833488865
GLYMA03G42221,0.126666667,6.446666667,5.669444566,Up,0.855705196
GLYMA04G00490,2.513333333,16.93,2.751908045,Up,0.827016614
GLYMA09G03620,0.816666667,14.87333333,4.186836859,Up,0.885535525
GLYMA16G33590,2.666666667,18.66666667,2.807354922,Up,0.838536585
GLYMA19G01690,0.34,5.896666667,4.116292991,Up,0.803647932
GLYMA19G29210,234.68,1008.903333,2.104021149,Up,0.836892895
GLYMA10G07146,6.666666667,36.48666667,2.452331857,Up,0.837939201
GLYMA14G21430,0.796666667,8.003333333,3.32855288,Up,0.804888653
GLYMA13G00211,1.3,10.92333333,3.070829644,Up,0.817253446
GLYMA13G22080,6.516666667,45.19666667,2.794010268,Up,0.861661364
GLYMA13G10490,2.283333333,14.89666667,2.705776152,Up,0.818299753
GLYMA13G00520,7.383333333,31.93,2.112568355,Up,0.810155532
GLYMA20G01930,3.723333333,49.01,3.718409462,Up,0.909639449
GLYMA01G41330,0.19,6.58,5.11401626,Up,0.845535525
GLYMA10G38910,1.36,56.29666667,5.371370946,Up,0.959763167
GLYMA08G38420,0.01,28.93,11.49835061,Up,0.971413927
GLYMA01G44910,1.303333333,23.06666667,4.145531525,Up,0.90329445
GLYMA03G15800,0.643333333,7.933333333,3.624288821,Up,0.816157653
GLYMA17G16130,15.69333333,60.14,1.938173048,Up,0.806712619
GLYMA14G21440,1.776666667,16.65,3.22827724,Up,0.852760693
GLYMA17G32830,3.513333333,23.13,2.7188529,Up,0.839876281
GLYMA14G07990,5.56,31,2.479111427,Up,0.834885118
GLYMA15G40070,4.926666667,109.8266667,4.478472719,Up,0.946051608
GLYMA19G01440,0.193333333,29.62,7.259337431,Up,0.966617179
GLYMA02G37610,0.413333333,7.866666667,4.250374834,Up,0.839918699
GLYMA16G02020,7.483333333,38.19333333,2.351567893,Up,0.834280665
GLYMA13G12090,2.763333333,31.20333333,3.497218649,Up,0.88969954
GLYMA06G20200,6.673333333,35.71666667,2.420117971,Up,0.836115235
GLYMA18G52145,2.203333333,30.60333333,3.795929125,Up,0.899328385
GLYMA15G14540,0.583333333,12.52333333,4.424154289,Up,0.882368328
GLYMA14G04530,0.363333333,12.42333333,5.095614779,Up,0.900268646
GLYMA02G13790,14.73333333,59.40666667,2.011540972,Up,0.816465182
GLYMA10G07773,0.5,10.29333333,4.363638347,Up,0.865917285
GLYMA04G09740,2.216666667,13.85333333,2.643769409,Up,0.811279604
GLYMA15G40065,2.016666667,28,3.79538228,Up,0.896716154
