GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA17G03340,17.76,79.54666667,2.163169895,Up,0.819371819
GLYMA07G13450,17.44,78.1,2.162922508,Up,0.819123319
GLYMA13G01570,21.86,97.76333333,2.161000075,Up,0.821352821
GLYMA20G37486,8.84,39.49,2.159369093,Up,0.807401807
GLYMA18G49540,10.16,45.25666667,2.155229926,Up,0.81038381
GLYMA13G26290,15.30333333,67.91,2.149778101,Up,0.816659317
GLYMA02G02560,16.16,70.97666667,2.134917623,Up,0.816064316
GLYMA13G11850,51.89333333,227.5633333,2.132647004,Up,0.824264824
GLYMA05G37085,15.41666667,67.13666667,2.122610044,Up,0.814737815
GLYMA06G14200,13.15333333,56.56,2.104353665,Up,0.810667311
GLYMA13G11991,71.30333333,306.3733333,2.103249303,Up,0.823011823
GLYMA13G11851,10.67333333,45.39333333,2.088469625,Up,0.805917806
GLYMA11G00300,11.97666667,50.89333333,2.087250251,Up,0.808115808
GLYMA02G18260,8.81,37.23666667,2.079510008,Up,0.800608301
GLYMA11G15050,21.59,91.14,2.077721127,Up,0.815273315
GLYMA04G29490,18.04,75.78666667,2.070744715,Up,0.812672813
GLYMA13G40940,28.94333333,121.2466667,2.066642097,Up,0.816911317
GLYMA03G37490,11.86333333,49.63333333,2.064799916,Up,0.805469805
GLYMA05G36700,10.1,42.24,2.064254542,Up,0.802144802
GLYMA06G42170,9.873333333,41.24,2.062435193,Up,0.801633802
GLYMA18G14980,109.9166667,458.44,2.060322769,Up,0.820596821
GLYMA05G35050,21.03,87.47666667,2.056449397,Up,0.813442813
GLYMA20G28980,52.07,214.2966667,2.041085098,Up,0.817453817
GLYMA12G29810,27.15333333,111.65,2.039782032,Up,0.813929314
GLYMA06G02380,12.92333333,53.11333333,2.03909584,Up,0.805063805
GLYMA20G24500,19.03666667,78.20333333,2.038449218,Up,0.810709311
GLYMA14G09620,34.01666667,138.3266667,2.023765625,Up,0.813922314
GLYMA04G05550,27.81333333,112.7433333,2.019193565,Up,0.812469812
GLYMA09G24410,14.33666667,57.72333333,2.009444983,Up,0.804122304
GLYMA19G26400,16.61333333,66.75666667,2.006570351,Up,0.806365806
GLYMA07G25390,48.79,194.9,1.998076702,Up,0.814146314
GLYMA09G33070,37.64666667,150.2766667,1.997026985,Up,0.812928313
GLYMA06G14710,12.91,51.47666667,1.995429635,Up,0.801542802
GLYMA04G09500,22.30666667,87.44333333,1.970873453,Up,0.802634803
GLYMA07G08601,25.77333333,100.8133333,1.967735417,Up,0.803933304
GLYMA03G38630,25.37333333,98.92333333,1.962997793,Up,0.802820303
GLYMA09G25470,19.92333333,77.53333333,1.960357649,Up,0.8003703
GLYMA05G04870,29.36333333,113.98,1.95669304,Up,0.803880804
GLYMA09G11111,23.27,89.93333333,1.950384732,Up,0.801164801
GLYMA15G15800,34.00666667,128.6733333,1.919823591,Up,0.801178801
GLYMA15G42740,73.2,276.7233333,1.918528744,Up,0.804290304
GLYMA13G11890,66.14,243.8433333,1.882359579,Up,0.800615301
GLYMA17G11401,125.6133333,462.73,1.881181027,Up,0.801812302
GLYMA03G40720,75.03,274.2666667,1.87003983,Up,0.8002583
GLYMA10G04790,817.4766667,224.8233333,-1.862385778,Down,0.800569801
GLYMA18G27710,661.5433333,179.37,-1.882897044,Down,0.802155302
GLYMA15G03400,286.3466667,77.39,-1.887543745,Down,0.801952302
GLYMA18G04081,4016.66,1081.666667,-1.892740369,Down,0.803572804
GLYMA04G37530,172.4233333,46.42666667,-1.892929414,Down,0.8003143
GLYMA02G47560,688.8666667,184.0033333,-1.904492868,Down,0.803891304
